index,title,genres,cast,keywords,director
2886,Duma,Adventure Drama Family,Alex Michaeletos Campbell Scott Mary Makhatho Nthabiseng Kenoshi Hope Davis,adolescence loss of father lion south africa bullying,Carroll Ballard
2887,Ondine,Drama Romance,Colin Farrell Alicja Bachleda-Curu\u015b Dervla Kirwan Alison Barry Marion O'Dwyer,alcohol mermaid wedding dress fishing net selkie,Neil Jordan
2888,Brother,Crime Drama Thriller,Takeshi Kitano Omar Epps Claude Maki Susumu Terajima Masaya Kato,brother brother relationship assassination culture clash war on drugs yakuza,Takeshi Kitano
2889,Welcome to Collinwood,Comedy,William H. Macy Isaiah Washington Sam Rockwell Michael Jeter Luis Guzm\u00e1n,safe remake heist inner city,Anthony Russo
2890,Critical Care,Comedy Drama,James Spader Kyra Sedgwick Helen Mirren Albert Brooks Anne Bancroft,nun satire hospital half sister,Sidney Lumet
2891,The Life Before Her Eyes,Thriller Drama Mystery,Uma Thurman Evan Rachel Wood Eva Amurri Martino Gabrielle Brennan Brett Cullen,suspense,Vadim Perelman
2892,Darling Companion,Drama Romance,Diane Keaton Kevin Kline Sam Shepard Dianne Wiest Richard Jenkins,aftercreditsstinger,Lawrence Kasdan
2893,Trade,Drama Thriller,Kevin Kline Cesar Ramos Paulina Gaita\u0301n Alicja Bachleda-Curu\u015b Marco P\u00e9rez,usa sex brother sister relationship mexico city border,Marco Kreuzpaintner
2894,Fateless,War Drama,Marcell Nagy B\u00e9la D\u00f3ra B\u00e1lint P\u00e9ntek \u00c1ron Dim\u00e9ny P\u00e9ter Fancsikai,budapest hungary concentration camp world war ii,Lajos Koltai
2895,Breakfast of Champions,Comedy,Bruce Willis Albert Finney Nick Nolte Barbara Hershey Glenne Headly,wife husband relationship success author extramarital affair,Alan Rudolph
2896,"A Woman, a Gun and a Noodle Shop",Comedy Drama Thriller,Sun Honglei Xiao Shen Yang Yan Ni Ni Dahong Zhao Benshan,,Zhang Yimou
2897,Cypher,Thriller Science Fiction Mystery,Jeremy Northam Lucy Liu Nigel Bennett Timothy Webber David Hewlett,double life undercover lie wife company,Vincenzo Natali
2898,City of Life and Death,Drama History War,Liu Ye Gao Yuanyuan Hideo Nakaizumi John Paisley Beverly Peckous,war crimes mass murder war victim sino japanese war massacre,Lu Chuan
2899,Legend of a Rabbit,Animation Family Action Adventure Comedy,Jon Heder Tom Arnold Michael Clarke Duncan Rebecca Black Claire Geare,,Lijun Sun
2900,Space Battleship Yamato,Science Fiction,Hiroyuki Ikeuchi Takuya Kimura Meisa Kuroki Toshir\u014d Yanagiba Tsutomu Yamazaki,,Takashi Yamazaki
2901,5 Days of War,War Drama,Rupert Friend Val Kilmer Andy Garc\u00eda Dean Cain Emmanuelle Chriqui,journalist interpreter georgia europe war zone,Renny Harlin
2902,Triangle,Horror,Melissa George Liam Hemsworth Emma Lung Rachael Carpani Michael Dorman,ocean florida autism key yacht,Christopher Smith
2903,10 Days in a Madhouse,Drama,Caroline Barry Christopher Lambert Kelly LeBrock Julia Chantrey Alexandra Callas,undercover insane asylum reporter,Timothy Hines
2904,Heaven is for Real,Drama,Greg Kinnear Kelly Reilly Connor Corum Thomas Haden Church Jon Ted Wynne,based on novel faith based on true events,Randall Wallace
2905,Snatch,Thriller Crime,Jason Statham Brad Pitt Vinnie Jones Dennis Farina Benicio del Toro,gypsy bare knuckle boxing slang trailer park pig,Guy Ritchie
2906,Dancin' It's On,Drama Romance,Witney Carson Chehon Wespi-Tschopp Gary Daniels David Winters Jordan Clark,dancing competition hotel florida dance teacher,David Winters
2907,Pet Sematary,Drama Horror,Dale Midkiff Fred Gwynne Denise Crosby Brad Greenquist Michael Lombard,coffin pet funeral head injury grief,Mary Lambert
2908,Madadayo,Drama,Tatsuo Matsumura Ky\u00f4ko Kagawa Hisashi Igawa George Tokoro Masayuki Yui,,Akira Kurosawa
2909,The Cry of the Owl,Drama,Paddy Considine Julia Stiles Caroline Dhavernas James Gilbert Karl Pruner,suspense,Jamie Thraves
2910,A Tale of Three Cities,Drama History Romance,Lau Ching-Wan Tang Wei Qin Hailu Jing Boran ,woman director,Mabel Cheung
2911,Gremlins,Fantasy Horror Comedy,Zach Galligan Phoebe Cates Hoyt Axton Polly Holliday Dick Miller,holiday monster small town department store bars and restaurants,Joe Dante
2912,Star Wars,Adventure Action Science Fiction,Mark Hamill Harrison Ford Carrie Fisher Peter Cushing Alec Guinness,android galaxy hermit death star lightsaber,George Lucas
2913,Dirty Grandpa,Comedy,Zac Efron Robert De Niro Julianne Hough Aubrey Plaza Dermot Mulroney,grandfather grandson relationship grandfather road trip wedding retired,Dan Mazer
2914,Doctor Zhivago,Drama Romance War,Omar Sharif Julie Christie Geraldine Chaplin Rod Steiger Alec Guinness,love triangle nurse suicide attempt loss of family world war i,David Lean
2915,Trash,Adventure Crime Drama Thriller,Rickson Tevez Eduardo Luis Gabriel Weinstein Rooney Mara Selton Mello,brazilian drama thriller,Stephen Daldry
2916,High School Musical 3: Senior Year,Comedy Drama Family Music Romance,Zac Efron Vanessa Hudgens Ashley Tisdale Lucas Grabeel Corbin Bleu,musical music high school coming of age teenager,Kenny Ortega
2917,The Fighter,Drama,Mark Wahlberg Christian Bale Amy Adams Melissa Leo Mickey O'Keefe,sport irish american documentary crew lowell massachusetts blue collar worker,David O. Russell
2918,Jackass Number Two,Action Comedy Documentary,Johnny Knoxville Bam Margera Steve-O Chris Pontius Ryan Dunn,wound disgust pain stunts stuntman,Jeff Tremaine
2919,My Cousin Vinny,Comedy Drama,Joe Pesci Ralph Macchio Marisa Tomei Mitchell Whitfield Fred Gwynne,prison southern usa suspicion cousin court,Jonathan Lynn
2920,If I Stay,Drama,Chlo\u00eb Grace Moretz Jamie Blackley Liana Liberato Mireille Enos Stacy Keach,coma musician teenage girl car accident teenager,R.J. Cutler
2921,Drive Hard,Action Comedy Crime,Thomas Jane John Cusack Zoe Ventoura Damien Garvey Christopher Morris,,Brian Trenchard-Smith
2922,Major League,Comedy,Tom Berenger Charlie Sheen Corbin Bernsen Margaret Whitton James Gammon,baseball sport sabotage sombrero baseball field,David S. Ward
2923,St. Trinian's,Comedy Family Science Fiction,Talulah Riley Rupert Everett Gemma Arterton Colin Firth Lena Headey,solidarity snake exhibit musical shenanigan,Barnaby Thompson
2924,Phone Booth,Thriller Drama,Colin Farrell Kiefer Sutherland Forest Whitaker Radha Mitchell Katie Holmes,terrorist phone booth psychopath,Joel Schumacher
2925,A Walk to Remember,Drama Romance,Mandy Moore Shane West Peter Coyote Daryl Hannah Lauren German,based on novel theatre group north carolina theatre milieu high school,Adam Shankman
2926,Dead Man Walking,Drama,Susan Sarandon Sean Penn Robert Prosky Raymond J. Barry R. Lee Ermey,prison rape socially deprived family penalty death penalty,Tim Robbins
2927,Cruel Intentions,Drama Romance Thriller,Sarah Michelle Gellar Ryan Phillippe Reese Witherspoon Selma Blair Louise Fletcher,upper class sexual obsession sex bet sadistic,Roger Kumble
2928,Saw VI,Horror Mystery,Tobin Bell Costas Mandylor Betsy Russell Mark Rolston Peter Outerbridge,aftercreditsstinger,Kevin Greutert
2929,History of the World: Part I,Comedy,Mel Brooks Dom DeLuise Madeline Kahn Harvey Korman Cloris Leachman,moses roman empire musical stone age music,Mel Brooks
2930,The Secret Life of Bees,Adventure,Dakota Fanning Queen Latifah Jennifer Hudson Sophie Okonedo Alicia Keys,woman director,Gina Prince-Bythewood
2931,Corky Romano,Action Comedy Crime,Chris Kattan Vinessa Shaw Peter Falk Peter Berg Chris Penn,,Rob Pritts
2932,Raising Cain,Drama Horror Thriller Crime,John Lithgow Lolita Davidovich Steven Bauer Frances Sternhagen Gregg Henry,,Brian De Palma
2933,F.I.S.T.,Drama Action,Sylvester Stallone Rod Steiger Peter Boyle Melinda Dillon David Huffman,,Norman Jewison
2934,Invaders from Mars,Science Fiction,Karen Black Hunter Carson Timothy Bottoms Laraine Newman James Karen,space invasion remake alien invasion,Tobe Hooper
2935,Brooklyn,Drama Romance,Saoirse Ronan Domhnall Gleeson Emory Cohen Jim Broadbent Julie Walters,love triangle based on novel homesickness vororte ship,John Crowley
2936,Barry Lyndon,Drama Romance War,Ryan O'Neal Marisa Berenson Hardy Kr\u00fcger Diana K\u00f6rner Frank Middlemass,palace british army fencing epic debt,Stanley Kubrick
2937,Out Cold,Comedy,Jason London Lee Majors Zach Galifianakis Victoria Silvstedt David Koechner,manager alcohol races mountains gondola,Brendan Malloy
2938,The Ladies Man,Comedy,Tim Meadows Karyn Parsons Billy Dee Williams John Witherspoon Jill Talley,female nudity tattoo radio cheat on husband eating contest,Reginald Hudlin
2939,Quartet,Drama Comedy Romance,Maggie Smith Tom Courtenay Billy Connolly Pauline Collins Michael Gambon,musician concert retired,Dustin Hoffman
2940,Tomcats,Comedy Romance,Jerry O'Connell Shannon Elizabeth Jake Busey Horatio Sanz Bernie Casey,compulsive gambling roulette stag night group of friends,Gregory Poirier
2941,Frailty,Drama Thriller Crime,Bill Paxton Matthew McConaughey Powers Boothe Matt O'Leary Jeremy Sumpter,angel sheriff loss of mother 1970s texas,Bill Paxton
2942,Woman in Gold,Drama,Helen Mirren Ryan Reynolds Tatiana Maslany Katie Holmes Max Irons,nazis based on true story art stolen painting,Simon Curtis
2943,Kinsey,Drama,Liam Neeson Laura Linney Chris O'Donnell Peter Sarsgaard Timothy Hutton,free love sex sexuality indiana professor,Bill Condon
2944,Army of Darkness,Fantasy Horror Comedy,Bruce Campbell Embeth Davidtz Marcus Gilbert Ian Abercrombie Richard Grove,prophecy witch swordplay supermarket castle,Sam Raimi
2945,Slackers,Comedy Romance,Jason Segel Devon Sawa Jason Schwartzman Jaime King Cameron Diaz,male nudity drug abuse job interview eavesdropping fall,Dewey Nicks
2946,What's Eating Gilbert Grape,Romance Drama,Johnny Depp Leonardo DiCaprio Juliette Lewis Darlene Cates Mary Steenburgen,brother brother relationship mentally disabled iowa widow dysfunctional family,Lasse Hallstr\u00f6m
2947,The Visual Bible: The Gospel of John,Drama History,Christopher Plummer Henry Ian Cusick Stuart Bunce Daniel Kash Stephen Russell,miracle jesus christ last supper bible christian,Philip Saville
2948,Vera Drake,Crime Drama,Imelda Staunton Sally Hawkins Richard Graham Eddie Marsan Anna Keaveney,england mother role women's prison police neighbor,Mike Leigh
2949,The Guru,Comedy Romance,Jimi Mistry Heather Graham Marisa Tomei Michael McKean Dash Mihok,sex indian lead dancing master new love porn actor,Daisy von Scherler Mayer
2950,The Perez Family,Comedy Drama Romance,Marisa Tomei Alfred Molina Anjelica Huston Chazz Palminteri Trini Alvarado,immigration independent film woman director political prisoner cuban refugees,Mira Nair
2951,Inside Llewyn Davis,Drama Music,Oscar Isaac Carey Mulligan Justin Timberlake Jerry Grayson Robin Bartlett,folk music performance aspiring singer new york city recording,Joel Coen
2952,O,Drama Romance Thriller,Mekhi Phifer Josh Hartnett Andrew Keegan Julia Stiles Martin Sheen,sex jealousy girlfriend high school columbine,Tim Blake Nelson
2953,Return to the Blue Lagoon,Drama Adventure Romance,Milla Jovovich Brian Krause Lisa Pelikan Courtney Barilla Garette Ratliff Henson,island marooned pacific island teenager deserted island,William A. Graham
2954,The Molly Maguires,Drama History,Sean Connery Samantha Eggar Richard Harris Frank Finlay Anthony Zerbe,pennsylvania miner coal mining coal mine pennsylvania coal miner,Martin Ritt
2955,Romance & Cigarettes,Comedy Music Romance,James Gandolfini Susan Sarandon Kate Winslet Steve Buscemi Mandy Moore,infidelity lovers working class new york city,John Turturro
2956,Copying Beethoven,Drama,Ed Harris Diane Kruger Matthew Goode Phyllida Law Ralph Riach,beethoven woman director,Agnieszka Holland
2957,Brighton Rock,Drama Thriller Crime,Andy Serkis Helen Mirren John Hurt Sam Riley Andrea Riseborough,waitress riot gang war nightmare prayer,Rowan Joffe
2958,Saw V,Horror Thriller Crime,Tobin Bell Costas Mandylor Scott Patterson Betsy Russell Mark Rolston,blood splatter serial killer pig mask nazi jigsaw,David Hackl
2959,Machine Gun McCain,Drama Action Thriller Crime Foreign,John Cassavetes Britt Ekland Peter Falk Gabriele Ferzetti Margherita Guzzinati,mobster,Giuliano Montaldo
2960,LOL,Drama Comedy Romance,Miley Cyrus Demi Moore Douglas Booth Ashley Greene Ashley Hinshaw,coming of age mother daughter relationship teen movie teenager based on film,Lisa Azuelos
2961,Jindabyne,Crime Drama Mystery Thriller,Laura Linney Gabriel Byrne Deborra-Lee Furness John Howard Leah Purcell,small town fishing male friendship australia marriage crisis,Ray Lawrence
2962,Kabhi Alvida Naa Kehna,Drama Romance,Shah Rukh Khan Rani Mukerji Preity Zinta Abhishek Bachchan Amitabh Bachchan,adultery extramarital affair,Karan Johar
2963,An Ideal Husband,Drama Comedy Romance,Cate Blanchett Minnie Driver Rupert Everett Julianne Moore Jeremy Northam,,Oliver Parker
2964,The Last Days on Mars,Science Fiction Thriller Horror,Liev Schreiber Romola Garai Elias Koteas Olivia Williams Johnny Harris,mars science fiction zombie,Ruairi Robinson
2965,Darkness,Horror,Anna Paquin Lena Olin Iain Glen Giancarlo Giannini Fele Mart\u00ednez,loss of child solar eclipse haunted house family psychopathy,Jaume Balaguer\u00f3
2966,2001: A Space Odyssey,Science Fiction Mystery Adventure,Keir Dullea Gary Lockwood William Sylvester Douglas Rain Daniel Richter,moon jupiter artificial intelligence man vs machine technology,Stanley Kubrick
2967,E.T. the Extra-Terrestrial,Science Fiction Adventure Family Fantasy,Henry Thomas Drew Barrymore Robert MacNaughton Dee Wallace Peter Coyote,farewell homesickness nasa extraterrestrial technology operation,Steven Spielberg
2968,In the Land of Women,Romance Comedy Drama,Meg Ryan Kristen Stewart Adam Brody JoBeth Williams Olympia Dukakis,infidelity party love cancer neighbor,Jon Kasdan
2969,The Blue Butterfly,Adventure Drama Family,Marc Donato Pascale Bussi\u00e8res William Hurt Raoul Max Trujillo Steve Adams,rain butterfly rainforest woman director insects,L\u00e9a Pool
2970,There Goes My Baby,Drama Comedy,Dermot Mulroney Ricky Schroder Kelli Williams Noah Wyle Lucy Deakins,,Floyd Mutrux
2971,Housefull,Drama Comedy Romance Foreign,Akshay Kumar Ritesh Deshmukh Deepika Padukone Lara Dutta Jiah Khan,,Sajid Khan
2972,September Dawn,Drama Action History Western Romance,Jon Voight Tamara Hope Trent Ford Lolita Davidovich Dean Cain,,Christopher Cain
2973,For Greater Glory - The True Story of Cristiada,History Drama,Eva Longoria Andy Garc\u00eda Oscar Isaac Peter O'Toole Rub\u00e9n Blades,duringcreditsstinger,Dean Wright
2974,The Bélier Family,Comedy Drama Music,Louane Emera Karin Viard Fran\u00e7ois Damiens Eric Elmosnino Roxane Duran,deafness music coming of age teenage girl singing,Eric Lartigau
2975,Good Will Hunting,Drama,Robin Williams Matt Damon Ben Affleck Stellan Skarsg\u00e5rd Minnie Driver,baseball boston professor m.i.t. harvard university,Gus Van Sant
2976,Misconduct,Drama Thriller,Josh Duhamel Alice Eve Malin \u00c5kerman Lee Byung-hun Julia Stiles,,Shintaro Shimosawa
2977,Saw III,Horror Thriller Crime,Tobin Bell Shawnee Smith Angus Macfadyen Bahar Soomekh Dina Meyer,brain tumor nudity suffocation mutilation severed foot,Darren Lynn Bousman
2978,Stripes,Action Comedy,Bill Murray Harold Ramis Warren Oates P.J. Soles Sean Young,date ex-girlfriend u.s. army military spoof,Ivan Reitman
2979,Bring It On,Comedy,Kirsten Dunst Jesse Bradford Eliza Dushku Gabrielle Union Huntley Ritter,cheerleader sport high school teenage girl cheerleading,Peyton Reed
2980,The Purge: Election Year,Action Horror Thriller,Elizabeth Mitchell Frank Grillo Mykelti Williamson Edwin Hodge Raymond J. Barry,dystopia sequel legalized murder,James DeMonaco
2981,She's All That,Comedy Romance,Freddie Prinze Jr. Rachael Leigh Cook Matthew Lillard Paul Walker Jodi Lyn O'Keefe,tv star jeep volleyball misfit teen angst,Robert Iscove
2982,Saw IV,Horror Thriller Crime,Tobin Bell Scott Patterson Costas Mandylor Betsy Russell Lyriq Bent,ice victim pain games psychopath,Darren Lynn Bousman
2983,White Noise,Drama Horror Thriller,Michael Keaton Chandra West Deborah Kara Unger Ian McNeice Keegan Connor Tracy,wheelchair time voice inspector supernatural,Geoffrey Sax
2984,Madea's Family Reunion,Drama Comedy Romance,Tyler Perry Blair Underwood Lynn Whitfield Boris Kodjoe Lisa Arrindell,spanking based on play,Tyler Perry
2985,The Color of Money,Drama,Paul Newman Tom Cruise Mary Elizabeth Mastrantonio Helen Shaver John Turturro,bar billard talent hustler sport,Martin Scorsese
2986,The Longest Day,Action Drama History War,Eddie Albert Paul Anka Arletty Jean-Louis Barrault Richard Beymer,world war ii normandy allied widerstand steel helmet,Bernhard Wicki
2987,The Mighty Ducks,Comedy Family,Emilio Estevez Joss Ackland Lane Smith Heidi Kling Josef Sommer,sports team sport ice hockey hockey game winning,Stephen Herek
2988,The Grudge,Horror Mystery Thriller,Sarah Michelle Gellar Jason Behr Clea DuVall Bill Pullman William Mapother,male nudity nurse japanese house remake,Takashi Shimizu
2989,Happy Gilmore,Comedy,Adam Sandler Ben Stiller Christopher McDonald Julie Bowen Frances Bay,loss of mother loss of father golf sport taxes,Dennis Dugan
2990,Jeepers Creepers,Horror Thriller,Gina Philips Justin Long Jonathan Breck Patricia Belcher Eileen Brennan,mass murder song brother sister aftercreditsstinger,Victor Salva
2991,Bill & Ted's Excellent Adventure,Adventure Comedy Science Fiction,Keanu Reeves Alex Winter George Carlin Dan Shor Hal Landon Jr.,jealousy journey in the past sigmund freud time travel heavy metal,Stephen Herek
2992,Oliver!,Drama Family Music,Ron Moody Shani Wallis Oliver Reed Harry Secombe Mark Lester,pickpocket musical victorian england orphan,Carol Reed
2993,The Best Exotic Marigold Hotel,Drama Comedy,Bill Nighy Maggie Smith Tom Wilkinson Judi Dench Dev Patel,hotel based on novel india ensemble cast elderly,John Madden
2994,Recess: School's Out,Science Fiction Animation Comedy Family,Rickey D'Shon Collins Jason Davis Ashley Johnson Courtland Mead Pamela Adlon,holiday elementary school friends based on tv series summer,Chuck Sheetz
2995,Mad Max Beyond Thunderdome,Action Adventure Science Fiction,Mel Gibson Tina Turner Bruce Spence Helen Buday Angelo Rossitto,arena sandstorm dystopia oasis sequel,George Miller
2996,Commando,Action Adventure Thriller,Arnold Schwarzenegger Rae Dawn Chong Dan Hedaya Vernon Wells James Olson,kidnapping lone wolf daughter father rescue mission,Mark L. Lester
2997,The Boy,Horror Mystery Thriller,Lauren Cohan Rupert Evans James Russell Jim Norton Diana Hardcastle,suicide england fire country house shower,William Brent Bell
2998,Devil,Horror Mystery Thriller,Chris Messina Jacob Vargas Bojana Novakovi\u0107 Logan Marshall-Green Bokeem Woodbine,claustrophobia trapped in an elevator,John Erick Dowdle
2999,Friday After Next,Comedy,Ice Cube Mike Epps John Witherspoon Don Curry Anna Maria Horsford,guard shopping mall thief drug,Marcus Raboy
3000,Insidious: Chapter 3,Drama Horror Thriller,Dermot Mulroney Stefanie Scott Lin Shaye Leigh Whannell Angus Sampson,sequel,Leigh Whannell
3001,The Last Dragon,Action Adventure Comedy,Taimak Julius Carry Vanity Christopher Murney Faith Prince,martial arts pizzeria limousine music,Michael Schultz
3002,The Lawnmower Man,Horror Thriller Science Fiction,Jeff Fahey Pierce Brosnan Jenny Wright Mark Bringelson Geoffrey Lewis,dream chimp manipulation botanist virtual reality,Brett Leonard
3003,Nick and Norah's Infinite Playlist,Comedy Music Romance,Michael Cera Kat Dennings Aaron Yoo Alexis Dziena Ari Graynor,concert teenager one night based on young adult novel secret location,Peter Sollett
3004,Dogma,Fantasy Comedy Adventure,Ben Affleck Matt Damon Linda Fiorentino Jason Mewes Chris Rock,angel wisconsin church service church aftercreditsstinger,Kevin Smith
3005,The Banger Sisters,Comedy Drama,Goldie Hawn Susan Sarandon Geoffrey Rush Erika Christensen Robin Thomas,tattoo rock star groupie past family,Bob Dolman
3006,Twilight Zone: The Movie,Drama Fantasy Horror Science Fiction Thriller,Albert Brooks Vic Morrow John Larroquette John Lithgow Dan Aykroyd,nazis anthology remake twilight zone,Steven Spielberg
3007,Road House,Action Thriller,Patrick Swayze Kelly Lynch Sam Elliott Ben Gazzara Marshall R. Teague,new love protection money nightclub rausschmei\u00dfer revenge,Rowdy Herrington
3008,A Low Down Dirty Shame,Action Comedy Crime,Keenen Ivory Wayans Charles S. Dutton Jada Pinkett Smith Salli Richardson-Whitfield Andrew Divoff,fbi drug crime violence drug private detective,Keenen Ivory Wayans
3009,Swimfan,Drama Thriller,Jesse Bradford Erika Christensen Shiri Appleby Kate Burton Jason Ritter,competition coma infidelity obsession bathing,John Polson
3010,Employee of the Month,Comedy Romance,Dane Cook Jessica Simpson Dax Shepard Andy Dick Tim Bagley,salesclerk midlife crisis prenzlauer berg vulgar slacker,Greg Coolidge
3011,Can't Hardly Wait,Comedy Drama Romance,Jennifer Love Hewitt Ethan Embry Charlie Korsmo Lauren Ambrose Peter Facinelli,alcohol regret homophobia radio cheerleader,Deborah Kaplan
3012,The Outsiders,Crime Drama,Matt Dillon Ralph Macchio C. Thomas Howell Patrick Swayze Rob Lowe,street gang children's home coming of age gang juvenile delinquent,Francis Ford Coppola
3013,Pete's Dragon,Adventure Family Fantasy,Bryce Dallas Howard Oakes Fegley Wes Bentley Karl Urban Oona Laurence,feral child remake dragon orphan 1980s,David Lowery
3014,The Dead Zone,Horror Science Fiction Thriller,Christopher Walken Brooke Adams Tom Skerritt Martin Sheen Herbert Lom,coma sheriff based on novel sacrifice suspense,David Cronenberg
3015,Sinister 2,Horror,Shannyn Sossamon James Ransone Robert Daniel Sloan Dartanian Sloan Lea Coco,haunted house sequel twins,Ciaran Foy
3016,Sparkle,Drama Music,Whitney Houston Cee Lo Green Derek Luke Mike Epps Carmen Ejogo,soong sisters duringcreditsstinger,Salim Akil
3017,Valentine,Horror Thriller,Denise Richards David Boreanaz Marley Shelton Jessica Capshaw Jessica Cauffiel,mobbing success violence against women revenge serial killer,Jamie Blanks
3018,The Fourth Kind,Mystery Science Fiction Thriller,Milla Jovovich Will Patton Hakeem Kae-Kazim Corey Johnson Enzo Cilenti,brother sister relationship wheelchair hypnosis investigation cover-up,Olatunde Osunsanmi
3019,A Prairie Home Companion,Drama Comedy Music,Meryl Streep Lindsay Lohan Virginia Madsen Woody Harrelson Garrison Keillor,usa country music commercial radio presenter radio transmission,Robert Altman
3020,Sugar Hill,Drama Action Thriller,Wesley Snipes Michael Wright Donald Faison O.L. Duke Leslie Uggams,,Leon Ichaso
3021,Invasion U.S.A.,Action Thriller,Chuck Norris Richard Lynch Melissa Prophet Alexander Zale Alex Colon,,Joseph Zito
3022,Roll Bounce,Comedy Drama Family,Nick Cannon Shad Moss Chi McBride Meagan Good Brandon T. Jackson,,Malcolm D. Lee
3023,Rushmore,Comedy Drama,Jason Schwartzman Olivia Williams Bill Murray Seymour Cassel Mason Gamble,private school lone wolf theatre play theatre group theatre director,Wes Anderson
3024,Skyline,Science Fiction,Eric Balfour Scottie Thompson David Zayas Donald Faison Brittany Daniel,missile light transformation low-budget alien,Colin Strause
3025,The Second Best Exotic Marigold Hotel,Drama Comedy,Dev Patel Judi Dench Richard Gere Maggie Smith Bill Nighy,india retirement home,John Madden
3026,Kit Kittredge: An American Girl,Comedy Drama Family,Abigail Breslin Chris O'Donnell Julia Ormond Stanley Tucci Joan Cusack,cincinnati woman director,Patricia Rozema
3027,The Perfect Man,Comedy Drama Family Romance,Hilary Duff Heather Locklear Chris Noth Mike O'Malley Ben Feldman,mother man-woman relation single matchmaking single mother,Mark Rosman
3028,Mo' Better Blues,Drama Romance,Denzel Washington Spike Lee Wesley Snipes Giancarlo Esposito John Turturro,musical,Spike Lee
3029,Kung Pow: Enter the Fist,Action Comedy,Hui Lou Chen Tad Horino Steve Oedekerk Jennifer Tung Ming Lo,loss of family loss of parents supernatural powers invulnerability spoof,Steve Oedekerk
3030,Tremors,Action Horror,Kevin Bacon Fred Ward Finn Carter Michael Gross Reba McEntire,nevada small town tractor stranded cult favorite,Ron Underwood
3031,Wrong Turn,Horror Thriller,Desmond Harrington Eliza Dushku Emmanuelle Chriqui Jeremy Sisto Kevin Zegers,life and death death of a friend parts of dead body,Rob Schmidt
3032,The Long Riders,Western History,David Carradine Keith Carradine Robert Carradine James Keach Stacy Keach,brother brother relationship jesse james cole younger,Walter Hill
3033,The Corruptor,Action Crime Mystery Thriller,Mark Wahlberg Chow Yun-fat Byron Mann Kim Chan Ric Young,new york life and death gang war police china town,James Foley
3034,Mud,Drama,Matthew McConaughey Tye Sheridan Jacob Lofland Sam Shepard Reese Witherspoon,river snake arkansas fugitive river boat,Jeff Nichols
3035,Reno 911!: Miami,Action Adventure Comedy Crime,Lennie Loftin Danny DeVito Ben Garant Carlos Alazraqui Mary Birdsong,sex terrorist beach nudity police,Ben Garant
3036,One Direction: This Is Us,Documentary Music,Harry Styles Niall Horan Zayn Malik Louis Tomlinson Liam Payne,concert,Morgan Spurlock
3037,"The Goods: Live Hard, Sell Hard",Comedy,Jeremy Piven Ving Rhames James Brolin David Koechner Kathryn Hahn,duringcreditsstinger,Neal Brennan
3038,Hey Arnold! The Movie,Animation Family,Spencer Klein Francesca Smith Jamil Walker Smith Dan Castellaneta Tress MacNeille,,Tuck Tucker
3039,My Week with Marilyn,Drama,Michelle Williams Eddie Redmayne Kenneth Branagh Julia Ormond Judi Dench,based on novel biography historical figure marilyn monroe,Simon Curtis
3040,The Matador,Action Comedy Crime Drama Thriller,Pierce Brosnan Greg Kinnear Hope Davis Portia Dawson Adam Scott,mexico city midlife crisis cocktail independent film stranger,Richard Shepard
3041,Love Jones,Comedy Drama Romance,Larenz Tate Nia Long Isaiah Washington Bill Bellamy Lisa Nicole Carson,sex ex-boyfriend independent film african american,Theodore Witcher
3042,The Gift,Thriller Mystery,Jason Bateman Rebecca Hall Joel Edgerton Allison Tolman Tim Griffin,detective stalker gift bully psychological thriller,Joel Edgerton
3043,End of the Spear,Adventure Drama,Louie Leonardo Chad Allen Jack Guzman Chase Ellison Sylvia Jefferies,drama,Jim Hanon
3044,Get Over It,Comedy Romance,Kirsten Dunst Ben Foster Melissa Sagemiller Colin Hanks Zoe Saldana,theatre play theatre group high school falling in love,Tommy O'Haver
3045,Office Space,Comedy Crime,Ron Livingston Jennifer Aniston David Herman Ajay Naidu Diedrich Bader,suburbia downsizing software engineer burnout dallas texas,Mike Judge
3046,Drop Dead Gorgeous,Comedy,Kirsten Dunst Ellen Barkin Denise Richards Amy Adams Kirstie Alley,minnesota mother role beauty contest girl from the province hicktown,Michael Patrick Jann
3047,Big Eyes,Drama,Amy Adams Christoph Waltz Krysten Ritter Danny Huston Jason Schwartzman,wife husband relationship artist court case,Tim Burton
3048,Very Bad Things,Comedy Crime Thriller,Jon Favreau Leland Orser Cameron Diaz Christian Slater Jeremy Piven,prostitute hotel cocaine nudity psychopath,Peter Berg
3049,Sleepover,Comedy Family,Alexa PenaVega Mika Boorem Jane Lynch Sara Paxton Brie Larson,high school scavenger hunt teenage crush slumber party teenager,Joe Nussbaum
3050,Body Double,Crime Mystery Horror Thriller,Craig Wasson Melanie Griffith Gregg Henry Deborah Shelton Guy Boyd,female nudity pornography claustrophobia nudity witness,Brian De Palma
3051,MacGruber,Action Adventure Comedy,Will Forte Kristen Wiig Val Kilmer Ryan Phillippe Maya Rudolph,aftercreditsstinger duringcreditsstinger,Jorma Taccone
3052,Dirty Pretty Things,Crime Drama Thriller,Chiwetel Ejiofor Audrey Tautou Sergi L\u00f3pez Benedict Wong Sophie Okonedo,london england prostitute hotel night watchman illegal immigration,Stephen Frears
3053,Movie 43,Comedy,Anna Faris Emma Stone Halle Berry Kate Winslet Hugh Jackman,slapstick ensemble cast duringcreditsstinger woman director laxative,Griffin Dunne
